Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Superliga,2019/2020,03/11/2019,18:30,Talleres Cordoba,Newells Old Boys,1,0,H,2.68,2.86,3.21,2.68,3.13,3.21,2.51,2.88,3.07
Argentina,Superliga,2019/2020,03/11/2019,20:45,Patronato,Racing Club,1,1,D,3.17,3.07,2.54,3.3,3.14,2.58,3.11,2.93,2.46
Argentina,Superliga,2019/2020,03/11/2019,23:00,Independiente,San Lorenzo,2,1,H,1.87,3.45,4.74,1.93,3.45,4.8,1.86,3.25,4.45
Argentina,Superliga,2019/2020,04/11/2019,22:00,Defensa y Justicia,Argentinos Jrs,0,0,D,2.5,2.93,3.41,2.52,3,3.5,2.41,2.85,3.3
Argentina,Superliga,2019/2020,05/11/2019,00:10,Central Cordoba,Velez Sarsfield,0,0,D,3.67,3.34,2.16,3.67,3.34,2.3,3.41,3.12,2.19
Argentina,Superliga,2019/2020,05/11/2019,00:10,Huracan,Lanus,0,1,A,3.6,2.99,2.37,3.6,3.1,2.37,3.37,2.94,2.31
Argentina,Superliga,2019/2020,08/11/2019,22:00,Estudiantes L.P.,Talleres Cordoba,1,0,H,2.15,3.11,4.04,2.16,3.2,4.1,2.11,3.01,3.79
Argentina,Superliga,2019/2020,09/11/2019,00:10,Union de Santa Fe,Atl. Tucuman,0,1,A,1.78,3.5,5.35,1.83,3.5,5.45,1.77,3.35,4.86
Argentina,Superliga,2019/2020,09/11/2019,18:30,Lanus,Banfield,0,1,A,2.05,3.27,4.16,2.08,3.34,4.37,2.01,3.15,3.91
Argentina,Superliga,2019/2020,09/11/2019,20:45,San Lorenzo,Argentinos Jrs,3,0,H,2.81,3.01,2.89,2.85,3.1,2.89,2.73,2.91,2.78
Argentina,Superliga,2019/2020,09/11/2019,23:00,Godoy Cruz,Independiente,1,2,A,3.93,3.31,2.09,3.93,3.48,2.15,3.72,3.18,2.05
Argentina,Superliga,2019/2020,10/11/2019,00:10,Central Cordoba,Patronato,3,2,H,2.23,3.13,3.75,2.3,3.13,4,2.2,3.01,3.55
Argentina,Superliga,2019/2020,10/11/2019,14:00,River Plate,Rosario Central,0,1,A,1.34,5.05,10.25,1.4,5.05,10.25,1.34,4.72,8.95
Argentina,Superliga,2019/2020,10/11/2019,16:15,Aldosivi,Gimnasia L.P.,0,3,A,2.98,3.08,2.67,3.1,3.14,2.72,2.9,2.94,2.6
Argentina,Superliga,2019/2020,10/11/2019,18:30,Newells Old Boys,Defensa y Justicia,2,0,H,2.35,3,3.63,2.35,3.13,4.24,2.24,2.93,3.57
Argentina,Superliga,2019/2020,10/11/2019,20:45,Racing Club,Huracan,1,0,H,1.76,3.4,5.72,1.8,3.8,7,1.72,3.39,5.31
Argentina,Superliga,2019/2020,10/11/2019,23:00,Velez Sarsfield,Boca Juniors,0,0,D,2.85,3.1,2.77,2.85,3.1,2.86,2.78,2.95,2.69
Argentina,Superliga,2019/2020,23/11/2019,22:40,Defensa y Justicia,Lanus,2,0,H,2.73,3.09,2.91,2.8,3.1,2.95,2.66,2.97,2.81
Argentina,Superliga,2019/2020,23/11/2019,22:40,Huracan,Central Cordoba,1,1,D,2.37,3.08,3.46,2.55,3.16,3.46,2.4,2.96,3.18
Argentina,Superliga,2019/2020,24/11/2019,00:45,Atl. Tucuman,San Lorenzo,2,2,D,2.49,2.95,3.4,2.5,3.11,3.4,2.42,2.91,3.18
Argentina,Superliga,2019/2020,24/11/2019,20:10,Boca Juniors,Union de Santa Fe,2,0,H,1.5,4.28,7.19,1.58,4.28,8.1,1.5,3.91,6.89
Argentina,Superliga,2019/2020,24/11/2019,22:40,Banfield,Velez Sarsfield,1,0,H,3.03,3.07,2.64,3.1,3.09,2.73,2.92,2.94,2.58
Argentina,Superliga,2019/2020,24/11/2019,22:40,Gimnasia L.P.,Arsenal Sarandi,0,1,A,2.17,3.53,3.44,2.25,3.53,3.6,2.13,3.36,3.29
Argentina,Superliga,2019/2020,25/11/2019,00:45,Talleres Cordoba,Racing Club,3,3,D,2.98,2.92,2.8,3,2.99,2.9,2.84,2.82,2.76
Argentina,Superliga,2019/2020,25/11/2019,22:00,Colon Santa FE,Estudiantes L.P.,3,2,H,2.88,2.87,2.94,2.9,2.95,2.97,2.75,2.83,2.84
Argentina,Superliga,2019/2020,25/11/2019,22:00,Patronato,Godoy Cruz,0,2,A,1.61,3.91,6.19,1.77,3.91,6.19,1.63,3.67,5.5
Argentina,Superliga,2019/2020,26/11/2019,00:10,Argentinos Jrs,Newells Old Boys,1,0,H,2.44,2.96,3.48,2.45,2.98,3.62,2.35,2.86,3.38
Argentina,Superliga,2019/2020,26/11/2019,00:10,Rosario Central,Aldosivi,5,1,H,1.53,3.93,7.52,1.62,3.95,7.52,1.53,3.76,6.65
Argentina,Superliga,2019/2020,29/11/2019,22:00,Banfield,Gimnasia L.P.,1,1,D,1.97,3.33,4.36,1.98,3.4,4.55,1.92,3.19,4.22
Argentina,Superliga,2019/2020,30/11/2019,00:10,Racing Club,Defensa y Justicia,1,1,D,2.38,3.19,3.27,2.4,3.26,4.03,2.3,3.08,3.24
Argentina,Superliga,2019/2020,30/11/2019,20:35,Estudiantes L.P.,Atl. Tucuman,1,1,D,1.88,3.34,4.94,1.94,3.38,5.1,1.85,3.24,4.55
Argentina,Superliga,2019/2020,30/11/2019,22:40,Boca Juniors,Argentinos Jrs,1,1,D,1.64,3.72,6.29,1.67,3.81,6.79,1.63,3.57,5.73
Argentina,Superliga,2019/2020,01/12/2019,00:45,Newells Old Boys,River Plate,2,3,A,4.18,3.35,2.02,4.63,3.44,2.05,3.96,3.24,1.97
Argentina,Superliga,2019/2020,01/12/2019,20:10,San Lorenzo,Patronato,2,0,H,1.77,3.62,5.12,1.81,3.62,5.45,1.76,3.44,4.77
Argentina,Superliga,2019/2020,01/12/2019,22:40,Godoy Cruz,Talleres Cordoba,0,5,A,3.72,3.31,2.16,3.72,3.35,2.18,3.47,3.23,2.12
Argentina,Superliga,2019/2020,01/12/2019,22:40,Velez Sarsfield,Colon Santa FE,3,1,H,1.63,3.76,6.22,1.69,3.76,6.7,1.63,3.54,5.78
Argentina,Superliga,2019/2020,02/12/2019,00:45,Aldosivi,Independiente,0,0,D,5.04,3.63,1.78,5.35,3.63,1.85,4.76,3.43,1.76
Argentina,Superliga,2019/2020,02/12/2019,00:45,Central Cordoba,Rosario Central,1,1,D,2.97,3.09,2.67,3.01,3.13,2.7,2.87,2.99,2.58
Argentina,Superliga,2019/2020,02/12/2019,22:00,Arsenal Sarandi,Lanus,1,1,D,3,3.43,2.43,3.1,3.45,2.64,2.86,3.28,2.41
Argentina,Superliga,2019/2020,03/12/2019,00:10,Union de Santa Fe,Huracan,1,0,H,1.92,3.25,4.88,1.93,3.3,4.96,1.88,3.16,4.51
Argentina,Superliga,2019/2020,06/12/2019,22:00,Colon Santa FE,Aldosivi,0,2,A,1.73,3.53,5.68,1.78,3.55,5.7,1.72,3.39,5.18
Argentina,Superliga,2019/2020,07/12/2019,00:10,Independiente,Banfield,0,1,A,2.24,3,3.92,2.32,3.21,3.95,2.19,2.92,3.71
Argentina,Superliga,2019/2020,07/12/2019,20:35,Huracan,Arsenal Sarandi,0,2,A,3.07,3.05,2.62,3.1,3.1,2.62,2.96,2.98,2.53
