Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2019/2020,05/02/2020,02:30,Puebla,Club America,0,1,A,3.6,3.14,2.26,3.6,3.3,2.26,3.41,3.11,2.16
Mexico,Liga MX,2019/2020,06/02/2020,02:30,Necaxa,Monterrey,2,2,D,3.4,3.52,2.17,3.4,3.56,2.2,3.19,3.39,2.13
Mexico,Liga MX,2019/2020,07/02/2020,03:15,Atlas,Monarcas,1,3,A,2.83,3.24,2.65,2.88,3.3,2.7,2.72,3.13,2.56
Mexico,Liga MX,2019/2020,08/02/2020,03:00,Puebla,Santos Laguna,2,2,D,3.67,3.52,2.07,3.7,3.7,2.07,3.48,3.43,2
Mexico,Liga MX,2019/2020,08/02/2020,03:10,Club Tijuana,Toluca,1,1,D,1.79,3.74,4.66,1.84,3.75,4.75,1.77,3.52,4.36
Mexico,Liga MX,2019/2020,08/02/2020,23:00,Cruz Azul,Pachuca,3,1,H,2.11,3.46,3.61,2.15,3.56,3.65,2.05,3.38,3.41
Mexico,Liga MX,2019/2020,09/02/2020,01:00,U.A.N.L.- Tigres,Guadalajara Chivas,3,0,H,1.89,3.46,4.53,1.95,3.6,4.6,1.83,3.36,4.27
Mexico,Liga MX,2019/2020,09/02/2020,03:00,Club Leon,Monterrey,3,1,H,2.38,3.58,2.94,2.38,3.71,3.1,2.27,3.47,2.87
Mexico,Liga MX,2019/2020,09/02/2020,18:00,U.N.A.M.- Pumas,Atl. San Luis,4,0,H,2.08,3.35,3.83,2.12,3.58,3.95,2.01,3.29,3.6
Mexico,Liga MX,2019/2020,10/02/2020,00:00,Queretaro,Club America,1,2,A,2.46,3.31,3.02,2.62,3.4,3.1,2.41,3.23,2.84
Mexico,Liga MX,2019/2020,10/02/2020,02:00,Juarez,Necaxa,2,1,H,2.26,3.32,3.37,2.32,3.5,3.45,2.18,3.27,3.2
